# Horizontal Translation, Vertical Translation, Rotation
-0.82628,-0.02638,0.64548
-0.86249,-0.04118,1.21063
-0.75474,-0.04421,0.63799
-0.74702,-0.04677,0.64548
-0.81795,-0.05238,0.86538
-0.77831,-0.05083,0.64354
-0.76888,-0.04977,0.87832
-0.82918,-0.05962,0.87832
-0.79197,-0.05508,0.64187
-0.83366,-0.05542,0.90613
-0.87391,-0.05636,1.24003
-0.86125,-0.05220,0.64548
-0.86820,-0.05668,1.02540
-1.31038,-0.10005,1.64588
-0.91690,-0.06948,1.03049
-0.89899,-0.07041,1.03654
-0.84820,-0.06941,0.90613
-1.05943,-0.08445,0.95795
-0.89625,-0.06694,0.91350
-1.01794,-0.07790,1.39056
-0.87466,-0.07594,0.91298
-0.93135,-0.07229,1.03049
-0.93677,-0.07323,1.01948
-0.95331,-0.08100,0.87655
-0.92319,-0.08046,0.92024
-1.00485,-0.08581,0.92788
-1.48155,-0.12161,1.29829
-0.40691,-0.03535,0.31026
-0.95201,-0.08122,1.03138
-0.93090,-0.07907,1.22784
-1.37077,-0.12364,1.74096
-0.95533,-0.07677,0.96179
-0.95433,-0.07599,1.38398
-0.90011,-0.07334,0.64375
-0.96145,-0.07839,0.94739
-0.93941,-0.07419,0.95957
-0.91201,-0.07288,0.62557
-0.96918,-0.08203,1.37743
-0.94333,-0.07641,1.01610
-0.89665,-0.07667,0.90536
-1.01057,-0.09082,1.01610
-0.95828,-0.08228,0.95628
-0.96515,-0.07987,1.03138
-1.43519,-0.11703,1.37743
-0.96021,-0.07505,0.93383
-0.95651,-0.07378,0.93383
-0.97576,-0.07788,0.77866
-0.90887,-0.07545,0.77063
-0.97697,-0.08110,0.92201
-0.98753,-0.08275,0.92163
-0.96276,-0.08167,0.91214
-0.93261,-0.07807,0.56798
-0.99274,-0.08317,0.72148
-0.98062,-0.09288,0.87536
-0.93028,-0.08842,0.63829
-0.96900,-0.08693,1.02033
-1.00352,-0.08822,0.71985
-1.42071,-0.13238,1.63375
-0.99673,-0.08572,1.11054
-0.96045,-0.07884,0.91214
-0.95160,-0.07550,0.91298
-0.97681,-0.07688,1.00607
-0.94321,-0.06696,0.91214
-0.93978,-0.06126,0.91214
-0.96267,-0.05550,0.90486
-0.91731,-0.05516,0.63476
-0.87819,-0.05579,0.90536
-0.93114,-0.05502,0.63799
-0.89749,-0.05520,0.63639
-0.89624,-0.05172,0.62941
-0.89370,-0.05717,0.63446
-1.37767,-0.07879,1.25536
-0.87961,-0.05180,0.91214
-0.92141,-0.05057,0.63288
-0.87910,-0.04896,0.63829
-0.86615,-0.04785,0.63829
-0.88663,-0.05436,0.63097
-0.84921,-0.05159,0.96326
-0.79710,-0.05078,0.91298
-0.82600,-0.05088,0.64354
-0.77521,-0.04504,0.64548
-0.72899,-0.04445,0.70563
-0.78164,-0.04797,0.64517
-0.71731,-0.04790,0.64738
-0.70279,-0.04618,0.56971
-0.68981,-0.04745,0.56262
-1.00094,-0.07033,0.76731
-0.66629,-0.04778,0.36532
-0.62815,-0.04580,0.39007
-0.62907,-0.04415,0.36186
-0.57602,-0.03934,0.38944
-0.57714,-0.03872,0.40828
-0.57962,-0.03730,0.36043
-0.52815,-0.03629,0.39177
-0.52827,-0.03551,0.32004
-0.52849,-0.03798,0.32357
-0.51548,-0.03827,0.32357
-0.47365,-0.03484,0.32357
-0.49308,-0.03808,0.38944
-0.67871,-0.04755,0.36588
-0.46029,-0.03314,0.38944
-0.43407,-0.03160,0.38778
-0.42248,-0.03040,0.40875
-0.39864,-0.02808,0.39105
-0.43827,-0.03009,0.39342
-0.36400,-0.02574,0.38551
-0.37704,-0.02823,0.38212
-0.38971,-0.03006,0.39502
-0.34530,-0.02704,0.31441
-0.34917,-0.02783,0.31631
-0.34059,-0.02889,0.31185
-0.33234,-0.02706,0.19116
-0.47452,-0.03888,0.39342
-0.33273,-0.02903,0.30662
-0.30495,-0.02603,0.18985
-0.28953,-0.02478,0.19373
-0.29362,-0.02432,0.19488
-0.29469,-0.02515,0.19488
-0.28904,-0.02640,0.19094
-0.27404,-0.02306,0.19178
-0.23513,-0.02255,0.15536
-0.28688,-0.02518,0.19571
-0.25688,-0.02237,0.19403
-0.26195,-0.02468,0.19488
-0.24781,-0.02420,0.15812
-0.24327,-0.02238,0.15580
-0.35848,-0.03513,0.39007
-0.24146,-0.02294,0.15387
-0.22178,-0.02280,0.15650
-0.23657,-0.02307,0.15387
-0.21592,-0.02256,0.15615
-0.22859,-0.02366,0.15275
-0.21306,-0.02083,0.15351
-0.23059,-0.02451,0.15351
-0.21431,-0.02432,0.15164
-0.19910,-0.02122,0.15465
-0.21633,-0.01178,0.00000
-0.17965,0.03715,0.22723
-0.14651,0.13811,0.30522
-0.11163,0.29114,0.22846
-0.08689,0.72367,0.00000
-0.01897,0.71021,0.00000
0.00576,0.94779,0.00000
0.02164,1.06010,0.00000
0.03186,1.16413,0.00000
0.03942,1.36550,0.00000
0.03989,1.43010,0.00000
0.03691,1.47241,0.00000
0.03497,1.64107,0.00000
0.02953,1.65525,0.00000
0.02526,1.70670,0.00000
0.02122,1.74767,0.00000
0.01648,1.84006,0.00000
0.01619,2.66414,0.00000
0.00734,1.95937,0.00000
