# Horizontal Translation, Vertical Translation, Rotation
3.27127,4.93434,-4.93127
3.55360,4.87228,-4.58771
9.02724,4.85050,-8.30065
-2.31692,6.61152,-2.53968
-24.40885,5.02167,0.00000
6.80686,4.28016,-6.17339
-4.11208,4.24107,0.00000
-10.44208,3.47332,0.00000
-14.68900,4.10389,0.00000
3.36873,6.00805,-6.83195
1.08076,5.77357,-2.92381
-22.51700,11.21251,0.00000
-10.53230,1.60154,0.00000
10.01028,6.78710,-7.68020
-5.77684,4.86399,0.00000
-10.33768,4.12313,0.00000
-14.08884,4.49850,0.00000
-14.37261,3.95668,0.00000
-15.96447,3.70467,0.00000
-10.03051,2.49023,0.00000
-8.96358,2.95849,0.00000
-10.60854,4.15178,0.00000
7.31001,6.30941,-5.54832
5.18756,5.16260,-4.34014
-7.63723,5.26157,0.00000
-7.48902,2.99669,0.00000
4.18394,-5.56413,0.32619
-4.49232,3.82741,1.24606
-16.63384,-1.21503,0.00000
-3.37982,1.26403,0.81883
-0.03039,4.82464,0.00000
-6.00785,10.18741,0.00000
-10.69993,7.98156,0.00000
-13.85153,6.50418,0.00000
-15.99712,4.39623,0.00000
-16.32354,1.13435,0.00000
-15.75625,-1.60129,0.00000
-14.14406,-4.57788,0.00000
-10.70947,-7.19629,0.00000
-6.80271,-5.32714,0.00000
-7.30721,-6.79413,0.00000
-6.40144,-6.93638,0.00000
-4.91546,-5.55380,0.00000
-4.70035,-5.44091,0.00000
-5.21826,-6.07644,0.00000
-5.49822,-6.38836,0.00000
-6.08594,-7.08721,0.00000
-7.10419,-8.24095,0.00000
-5.52528,-5.85600,-1.16983
-5.63650,-5.16604,0.00000
-5.22553,-4.65441,0.00000
-6.58101,-6.30770,0.00000
-5.82853,-6.56719,0.04199
-5.06462,-6.37250,0.00000
-4.89040,-6.09648,0.00000
-3.99460,-6.04233,0.00000
-3.99038,-5.79286,0.00000
-3.17451,-5.60243,0.00000
-3.07577,-5.45011,0.00000
