# Horizontal Translation,Vertical Translation,Rotation
-2.97798,-0.09231,2.84041
-2.92726,-0.07991,3.40486
-2.88689,-0.13338,3.60206
-3.37363,-0.11330,3.13709
-2.94624,-0.07065,2.85613
-2.97121,-0.06205,2.52473
-2.98675,-0.06264,2.56968
-3.55445,-0.04456,3.13858
-3.01314,-0.01262,2.75813
-3.08309,0.00563,2.74907
-3.05015,0.07791,2.55355
-3.12056,0.02539,2.56082
-3.09110,0.01063,2.79429
-3.37458,0.00388,4.08474
-2.88522,-0.01167,2.50481
-2.77478,0.02742,2.49725
-2.76412,0.04383,2.60380
-3.10406,0.00943,2.81211
-2.54274,0.01544,2.16720
-2.38126,-0.00113,1.88429
-2.27299,0.02507,1.56600
-2.04578,0.02714,1.56648
-2.21122,-0.00852,1.90794
-1.70779,-0.02333,1.57461
-1.58608,-0.02950,1.25846
-1.45439,-0.02647,1.26845
-1.55668,-0.03336,1.26541
-1.22621,-0.03058,1.37589
-1.14592,-0.02947,0.94358
-1.05800,-0.02608,0.94879
-0.96208,-0.02973,0.63829
-1.10389,-0.03575,0.96363
-0.80069,-0.03119,0.63829
-0.78459,-0.03071,0.63288
-0.74834,-0.02839,0.63248
-0.70932,-0.02836,0.63599
-0.78547,-0.03342,0.68136
-0.64627,-0.02983,0.37472
-0.62797,-0.01149,0.35822
-0.38372,0.59252,0.46247
-0.09246,2.56470,0.00000
0.07223,3.69324,0.00000
0.07749,4.61887,0.00000
0.04666,5.27059,0.00000
0.01557,5.43865,0.00000
-0.00930,6.49390,0.00000
-0.02388,5.75500,0.00000
-0.03300,5.70734,0.00000
-0.03891,5.59895,0.00000
-0.04038,5.72555,0.00000
-0.04956,6.59716,0.00000
-0.04069,5.72504,0.00000
-0.04318,5.67382,0.00000
-0.04328,5.68589,0.00000
-0.04466,6.80384,0.00000
-0.03819,5.66426,0.00000
-0.03722,5.73347,0.00000
-0.03194,5.66829,0.00000
-0.03087,5.67033,0.00000
-0.03677,6.73615,0.00000
-0.02765,5.67530,0.00000
-0.02351,5.74484,0.00000
-0.01586,5.68457,0.00000
-0.01673,5.74836,0.00000
-0.01605,6.74033,0.00000
-0.00949,5.61961,0.00000
-0.00532,5.68296,0.00000
-0.01042,5.65552,0.00000
-0.00751,6.69322,0.00000
-0.00585,5.62877,0.00000
-0.00095,5.62635,0.00000
0.00038,5.68562,0.00000
0.00143,5.56848,0.00000
0.00295,6.59956,0.00000
0.00318,5.66029,0.00000
0.00632,5.67083,0.00000
0.00031,5.49284,0.00000
0.00130,5.66975,0.00000
0.00248,6.52485,0.00000
-0.00695,5.56767,0.00000
-0.00749,5.47333,0.00000
0.00006,6.46410,0.00000
0.00142,5.57151,0.00000
0.00700,5.39033,0.00000
0.00713,5.32924,0.00000
0.01019,5.30398,0.00000
0.01982,6.12911,0.00000
0.01430,5.16544,0.00000
0.01565,4.96871,0.00000
0.01084,4.99522,0.00000
0.01923,4.76068,0.00000
0.02100,5.57721,0.00000
0.02027,4.60789,0.00000
0.02075,4.55673,0.00000
0.02112,4.58307,0.00000
0.02173,4.45754,0.00000
0.02558,4.98099,0.00000
0.02130,4.08247,0.00000
0.00963,3.99648,0.00000
0.00219,3.95198,0.00000
-0.00253,4.27867,0.00000
-0.00394,3.57830,0.00000
0.00096,3.51147,0.00000
0.00312,3.36936,0.00000
0.00683,3.30404,0.00000
0.01468,3.68645,0.00000
0.01494,3.11270,0.00000
0.01957,3.00538,0.00000
0.01932,2.85267,0.00000
0.02737,3.30401,0.00000
0.02634,2.72647,0.00000
0.02661,2.63259,0.00000
0.03022,2.52072,0.00000
0.02923,2.49741,0.00000
0.03464,2.81162,0.00000
0.02998,2.32057,0.00000
0.03059,2.28328,0.00000
0.02921,2.16933,0.00000
0.01794,2.15226,0.00000
0.00365,2.40978,0.00000
-0.00991,2.01062,0.00000
-0.01574,1.90372,0.00000
-0.01794,1.89096,0.00000
-0.02188,2.12576,0.00000
-0.01536,1.77997,0.00000
-0.01189,1.72767,0.00000
-0.00561,1.65447,0.00000
-0.00086,1.62662,0.00000
0.00441,1.82068,0.00000
0.00975,1.51585,0.00000
0.01139,1.47997,0.00000
0.01714,1.46692,0.00000
0.02317,1.61305,0.00000
0.02470,1.37057,0.00000
0.02642,1.33417,0.00000
0.02818,1.29893,0.00000
0.03190,1.23919,0.00000
0.03596,1.43397,0.00000
0.03888,1.17439,0.00000
0.04588,1.13127,0.00000
0.03543,1.07075,0.00000
0.01466,1.01929,0.00000
-0.01058,1.13131,0.00000
-0.03143,0.93100,0.00000
-0.04694,0.89327,0.00000
-0.06113,0.84856,0.00000
-0.08277,0.95883,0.00000
-0.07797,0.78153,0.00000
-0.08245,0.76446,0.00000
-0.08403,0.73124,0.00000
-0.08493,0.70793,0.00000
-0.09642,0.81361,0.00000
-0.06908,0.67266,0.00000
-0.05937,0.65540,0.00000
-0.05385,0.64947,0.00000
-0.07145,0.66526,0.00000
-0.58850,0.73721,0.78950
-1.42338,0.52492,1.58776
-2.16041,0.40082,2.51252
-2.70771,0.31320,2.91880
-3.57026,0.25042,4.18667
-3.18993,0.12660,3.57915
-3.23595,0.13460,3.68071
-3.14095,0.13637,3.59870
-3.07518,0.15866,3.38557
-3.57603,0.17335,4.34694
-2.45811,0.05418,3.10332
-1.25000,-0.05802,1.46319
0.49410,-0.10453,0.00000
1.96654,-0.07944,-1.70208
3.37555,-0.06436,-2.78561
3.34030,-0.07200,-2.80071
3.51804,-0.08291,-3.17031
3.55259,-0.03522,-3.03121
3.57478,0.03826,-3.20346
4.18679,0.02843,-3.53730
3.58065,0.09258,-3.78143
3.43429,0.07194,-3.55767
3.37248,0.03693,-3.74493
3.82632,0.05563,-3.17033
3.21834,-0.05472,-3.69344
3.22790,-0.06277,-3.56972
3.17493,-0.02456,-3.08564
3.28150,-0.05927,-3.47054
3.72423,-0.02538,-3.56953
3.24192,0.02948,-3.13266
3.15391,0.02211,-3.17255
3.28375,0.00703,-3.01353
3.02433,0.02559,-2.63642
2.86659,0.00197,-2.94405
3.32898,0.00034,-3.25195
2.71725,0.05728,-2.59253
2.51245,0.01390,-2.57889
2.35471,-0.01061,-2.41435
2.58376,0.00066,-2.93493
2.04937,-0.00363,-2.26322
1.87634,-0.01535,-1.95347
1.76333,-0.02576,-1.92353
1.85706,-0.01378,-1.94773
1.44455,-0.01884,-1.60618
1.31899,-0.01880,-1.63154
1.17624,-0.01524,-1.32015
1.10307,-0.02332,-1.51899
1.16500,-0.03340,-1.44942
0.89947,-0.03022,-1.27303
0.82496,-0.02877,-1.01431
0.76154,-0.03531,-1.00838
0.83606,-0.04238,-1.08653
0.65247,-0.04016,-0.94167
0.61759,-0.04130,-0.87593
0.57866,-0.04203,-0.77739
0.64315,-0.04875,-0.90821
0.52269,-0.04486,-0.78482
0.49654,-0.04470,-0.65594
0.43489,0.14183,-0.53898
0.19934,1.28237,0.00000
0.00970,3.45946,0.00000
-0.04691,4.24399,0.00000
-0.04996,5.02420,0.00000
-0.01432,5.47565,0.00000
0.00431,5.62957,0.00000
0.02063,6.74242,0.00000
0.01703,5.77872,0.00000
0.02134,5.83616,0.00000
0.02090,5.98858,0.00000
0.02476,6.93108,0.00000
0.01901,6.04380,0.00000
0.02427,6.03656,0.00000
0.01852,5.86826,0.00000
0.02633,5.99647,0.00000
0.02005,6.91492,0.00000
0.01784,6.02467,0.00000
0.01128,5.99798,0.00000
0.00466,6.00638,0.00000
0.00262,5.95491,0.00000
-0.00390,7.06250,0.00000
-0.00054,5.97046,0.00000
-0.00508,6.03894,0.00000
-0.00817,5.94872,0.00000
-0.00901,6.02836,0.00000
-0.00886,6.89682,0.00000
-0.00884,6.12485,0.00000
-0.01781,5.90398,0.00000
-0.01526,5.96022,0.00000
-0.01964,7.04679,0.00000
-0.01206,5.89435,0.00000
-0.01064,5.99435,0.00000
-0.01076,5.99777,0.00000
-0.00635,6.04513,0.00000
-0.01581,6.91712,0.00000
-0.01276,6.11342,0.00000
-0.01507,5.86030,0.00000
-0.02076,5.88477,0.00000
-0.02402,5.87573,0.00000
-0.03168,6.87052,0.00000
-0.02914,5.71236,0.00000
-0.03175,5.65960,0.00000
-0.03462,5.49184,0.00000
-0.04590,6.49568,0.00000
-0.03623,5.36283,0.00000
-0.04086,5.39020,0.00000
-0.04223,5.09927,0.00000
-0.04164,5.23651,0.00000
-0.04645,5.66302,0.00000
-0.04230,4.99058,0.00000
-0.03926,4.88574,0.00000
-0.03297,4.86792,0.00000
-0.02031,4.68978,0.00000
-0.01710,5.37965,0.00000
-0.01519,4.51689,0.00000
-0.01978,4.31595,0.00000
-0.02607,4.12340,0.00000
-0.03627,4.56715,0.00000
-0.03853,3.84240,0.00000
-0.04226,3.74551,0.00000
-0.04421,3.57826,0.00000
-0.04828,3.53780,0.00000
-0.06264,3.96884,0.00000
-0.05478,3.23959,0.00000
-0.05820,3.19708,0.00000
-0.06104,3.11760,0.00000
-0.07343,3.60251,0.00000
-0.06007,2.74252,0.00000
-0.06172,2.77728,0.00000
-0.06394,2.70182,0.00000
-0.07273,3.07076,0.00000
-0.05052,2.51369,0.00000
-0.03031,2.44534,0.00000
-0.01550,2.41924,0.00000
-0.00323,2.28479,0.00000
-0.00137,2.58907,0.00000
-0.00386,2.17104,0.00000
-0.00673,2.09753,0.00000
-0.01438,2.01550,0.00000
-0.02180,2.28340,0.00000
-0.02666,1.96060,0.00000
-0.03092,1.80720,0.00000
-0.03976,1.81561,0.00000
-0.04660,1.76136,0.00000
-0.06092,2.01460,0.00000
-0.05990,1.64312,0.00000
-0.06223,1.59548,0.00000
-0.06925,1.55587,0.00000
-0.07239,1.52428,0.00000
-0.09025,1.72159,0.00000
-0.07973,1.40784,0.00000
-0.08688,1.38376,0.00000
-0.09266,1.35334,0.00000
-0.07104,1.49828,0.00000
-0.01606,1.17534,0.00000
0.02619,1.14352,0.00000
0.06094,1.05078,0.00000
0.09053,1.01980,0.00000
0.13244,1.13889,0.00000
0.12585,0.91571,-0.14477
0.12953,0.87043,-0.16127
0.13370,0.85842,-0.16816
0.13200,0.82915,-0.17100
0.14857,0.94158,-0.23334
0.11772,0.76017,-0.10513
0.07073,0.72558,-0.08127
-0.43865,0.58756,0.34594
-1.67702,0.50439,1.25042
-2.26695,0.33403,2.23672
-2.74020,0.30293,2.93823
-2.94221,0.25395,2.91457
-3.17936,0.24659,2.79266
-3.70658,0.24527,3.68452
-3.10034,0.17222,3.38291
-2.80027,0.16587,2.86450
-2.28531,0.07806,2.65030
-2.08489,0.00208,2.58459
-2.61329,-0.02443,2.49121
-2.53008,-0.02232,2.21502
-2.68651,-0.00857,2.50481
-2.86262,0.01452,3.62803
-2.90811,-0.01091,2.81211
-3.43627,0.03315,4.43752
-2.98907,0.03140,3.65042
-3.03985,0.03250,2.51855
-3.08548,0.03104,3.92389
-3.11822,0.01940,2.80101
-3.65734,0.05118,3.28226
-2.99030,0.03367,2.82307
-2.96726,0.10290,2.82307
-3.00320,0.05716,2.84968
-2.98348,-0.00917,2.81211
-3.63475,0.05668,3.39474
-3.20467,-0.03519,2.81211
-3.20508,-0.02113,3.89161
-3.16487,-0.02421,2.51855
-3.66433,-0.05641,2.81857
-3.11850,-0.05227,2.19679
-3.05620,-0.08898,3.61590
-3.01072,-0.10633,3.40277
-2.89286,-0.09235,2.50481
-3.31550,-0.07295,4.12211
-2.84361,-0.04757,3.45518
-2.69459,-0.05792,3.27226
-2.57481,-0.05825,2.24596
-2.89506,-0.09791,2.52604
-2.26151,-0.11589,2.20287
-2.10777,-0.11533,1.89742
-1.87819,-0.10248,1.59682
-1.71912,-0.12409,1.48195
-1.89824,-0.13474,1.64374
-1.45443,-0.11228,1.29092
-1.33019,-0.09213,0.96179
-1.23657,-0.08026,0.95405
-1.13270,-0.06344,0.95405
-1.20603,-0.05766,0.95264
-0.94135,-0.04655,0.87779
-0.87076,-0.04273,0.63639
-0.82607,-0.04305,0.87779
-0.87489,-0.05316,0.63446
-0.70013,-0.05066,0.87098
-0.65082,-0.05097,0.66429
-0.61636,-0.04994,0.66800
-0.58444,-0.05042,0.66800
-0.64773,-0.05936,0.66429
-0.53358,-0.05256,0.66418
-0.51804,-0.05606,0.38249
-0.46781,0.01439,0.41622
-0.25227,0.88960,0.28695
-0.03510,3.03641,0.00000
0.06058,4.05200,0.00000
0.05492,4.96557,0.00000
0.03088,5.40936,0.00000
-0.00032,6.75464,0.00000
-0.01345,5.79281,0.00000
-0.02281,5.91256,0.00000
-0.02924,6.01841,0.00000
-0.03935,6.95722,0.00000
-0.03034,6.03490,0.00000
-0.03356,5.95832,0.00000
-0.03175,5.96990,0.00000
-0.03961,6.10335,0.00000
-0.03334,6.91480,0.00000
-0.02943,6.06459,0.00000
-0.02525,6.00076,0.00000
-0.02480,6.06223,0.00000
-0.02394,6.99944,0.00000
-0.01861,6.00415,0.00000
-0.01492,6.08329,0.00000
-0.01449,6.02765,0.00000
-0.01158,6.09520,0.00000
-0.00210,7.09305,0.00000
0.00038,5.96743,0.00000
-0.00491,6.09143,0.00000
0.00103,6.01743,0.00000
-0.00928,7.10439,0.00000
-0.00296,5.94833,0.00000
-0.00760,6.14262,0.00000
-0.00750,5.99459,0.00000
-0.00792,6.03789,0.00000
0.00037,6.89532,0.00000
0.00457,5.94844,0.00000
0.00438,5.80832,0.00000
0.01125,5.96674,0.00000
0.00864,5.90359,0.00000
0.01876,6.89347,0.00000
0.01632,5.88011,0.00000
0.02046,5.80188,0.00000
0.02352,5.73349,0.00000
0.02299,6.65304,0.00000
0.02793,5.65711,0.00000
0.03029,5.36391,0.00000
0.03229,5.33891,0.00000
0.03052,5.16188,0.00000
0.03565,5.91247,0.00000
0.02914,5.04789,0.00000
0.02185,5.03572,0.00000
0.01494,4.92000,0.00000
0.01456,5.68572,0.00000
0.01042,4.68703,0.00000
0.01354,4.50889,0.00000
0.01722,4.41251,0.00000
0.02517,4.22181,0.00000
0.03555,4.82212,0.00000
0.03358,3.96649,0.00000
0.03926,3.91442,0.00000
0.03941,3.76760,0.00000
0.05461,4.30017,0.00000
0.04655,3.54216,0.00000
0.04780,3.34233,0.00000
0.05065,3.31622,0.00000
0.05184,3.18375,0.00000
0.06370,3.69016,0.00000
0.05300,2.97149,0.00000
0.05374,2.88606,0.00000
0.05449,2.81179,0.00000
0.04613,2.69912,0.00000
0.03029,3.14203,0.00000
0.01131,2.49424,0.00000
0.00172,2.44754,0.00000
-0.00016,2.38936,0.00000
0.00181,2.30216,0.00000
0.00409,2.61293,0.00000
0.01117,2.17754,0.00000
0.01613,2.08660,0.00000
0.02459,2.04840,0.00000
0.02889,1.95380,0.00000
0.04290,2.30793,0.00000
0.04284,1.85333,0.00000
0.04950,1.81723,0.00000
0.05228,1.74836,0.00000
0.06744,2.00001,0.00000
0.06121,1.62840,0.00000
0.06677,1.63149,0.00000
